tissue,cohort,mean_abs_r,max_abs_r,n_sig_sets,n_sets,n_samples
Brain - Cerebellum,all_with_ventilator,0.06389111469712262,0.18857740182019447,1,14,241
Adipose - Visceral (Omentum),all_with_ventilator,0.060307980404109875,0.13828417174671317,2,14,541
Skin - Sun Exposed (Lower leg),all_with_ventilator,0.05952173204038149,0.1869882136870943,3,14,692
Artery - Aorta,all_with_ventilator,0.05280564803882139,0.10274928478295252,0,14,431
Brain - Frontal Cortex (BA9),all_with_ventilator,0.05278915288059824,0.11060027907534306,0,14,209
Brain - Spinal cord (cervical c-1),all_with_ventilator,0.04613528898053691,0.15122134017005445,0,14,159
Brain - Substantia nigra,all_with_ventilator,0.044091258595190426,0.11502663220103128,0,14,139
Pituitary,all_with_ventilator,0.042747018624213824,0.1445228058228864,1,14,283
Brain - Hypothalamus,all_with_ventilator,0.030403076220559374,0.054024547240064516,0,14,202
Thyroid,all_with_ventilator,0.02871155347835051,0.06182273045731257,0,14,651
Cervix - Endocervix,all_with_ventilator,NA,-Inf,0,14,8
