gs_name,gs_collection,gs_subcollection,gene_symbol,ensembl_gene
HALLMARK_HYPOXIA,H,,WSB1,ENSG00000109046
HALLMARK_HYPOXIA,H,,XPNPEP1,ENSG00000108039
HALLMARK_HYPOXIA,H,,ZFP36,ENSG00000128016
HALLMARK_HYPOXIA,H,,ZNF292,ENSG00000188994
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,EGFR,ENSG00000146648
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,GPNMB,ENSG00000136235
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,HBEGF,ENSG00000113070
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,HIF1A,ENSG00000100644
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,LRRK2,ENSG00000188906
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,PTK6,ENSG00000101213
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,AQP8,ENSG00000103375
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,ATOX1,ENSG00000177556
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,ATP7A,ENSG00000165240
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CAT,ENSG00000121691
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CCS,ENSG00000173992
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CYBA,ENSG00000051523
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CYBB,ENSG00000165168
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CYCS,ENSG00000172115
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,ERO1A,ENSG00000197930
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX1,ENSG00000233276
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX2,ENSG00000176153
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX3,ENSG00000211445
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX5,ENSG00000224586
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX5,ENSG00000257770
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX6,ENSG00000198704
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX7,ENSG00000116157
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX8,ENSG00000164294
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GSR,ENSG00000104687
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GSTP1,ENSG00000084207
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NCF1,ENSG00000158517
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NCF2,ENSG00000116701
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NCF4,ENSG00000100365
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NOX4,ENSG00000086991
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NOX5,ENSG00000255346
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NUDT2,ENSG00000164978
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,P4HB,ENSG00000185624
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX1,ENSG00000117450
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX2,ENSG00000167815
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX3,ENSG00000165672
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX5,ENSG00000126432
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX6,ENSG00000117592
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,SOD1,ENSG00000142168
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,SOD2,ENSG00000291237
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,SOD3,ENSG00000109610
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,TXN,ENSG00000136810
